,userID,itemID,rating,timestamp
0,196,242,3.0,881250949
1,186,302,3.0,891717742
2,22,377,1.0,878887116
3,244,51,2.0,880606923
4,166,346,1.0,886397596
5,298,474,4.0,884182806
6,115,265,2.0,881171488
7,253,465,5.0,891628467
8,305,451,3.0,886324817
9,6,86,3.0,883603013
10,62,257,2.0,879372434
11,286,1014,5.0,879781125
12,200,222,5.0,876042340
13,210,40,3.0,891035994
14,224,29,3.0,888104457
15,303,785,3.0,879485318
16,122,387,5.0,879270459
17,194,274,2.0,879539794
18,291,1042,4.0,874834944
19,234,1184,2.0,892079237
20,119,392,4.0,886176814
21,167,486,4.0,892738452
22,299,144,4.0,877881320
23,291,118,2.0,874833878
24,308,1,4.0,887736532
25,95,546,2.0,879196566
26,38,95,5.0,892430094
27,102,768,2.0,883748450
28,63,277,4.0,875747401
29,160,234,5.0,876861185
30,50,246,3.0,877052329
31,301,98,4.0,882075827
32,225,193,4.0,879539727
33,290,88,4.0,880731963
34,97,194,3.0,884238860
35,157,274,4.0,886890835
36,181,1081,1.0,878962623
37,278,603,5.0,891295330
38,276,796,1.0,874791932
39,7,32,4.0,891350932
40,10,16,4.0,877888877
41,284,304,4.0,885329322
42,201,979,2.0,884114233
43,276,564,3.0,874791805
44,287,327,5.0,875333916
45,246,201,5.0,884921594
46,242,1137,5.0,879741196
47,249,241,5.0,879641194
48,99,4,5.0,886519097
49,178,332,3.0,882823437
50,251,100,4.0,886271884
51,81,432,2.0,876535131
52,260,322,4.0,890618898
53,25,181,5.0,885853415
54,59,196,5.0,888205088
55,72,679,2.0,880037164
56,87,384,4.0,879877127
57,290,143,5.0,880474293
58,42,423,5.0,881107687
59,292,515,4.0,881103977
60,115,20,3.0,881171009
61,20,288,1.0,879667584
62,201,219,4.0,884112673
63,13,526,3.0,882141053
64,246,919,4.0,884920949
65,138,26,5.0,879024232
66,167,232,1.0,892738341
67,60,427,5.0,883326620
68,57,304,5.0,883698581
69,223,274,4.0,891550094
70,189,512,4.0,893277702
71,243,15,3.0,879987440
72,92,1049,1.0,890251826
73,246,416,3.0,884923047
74,194,165,4.0,879546723
75,241,690,2.0,887249482
76,178,248,4.0,882823954
77,254,1444,3.0,886475558
78,293,5,3.0,888906576
79,127,229,5.0,884364867
80,225,237,5.0,879539643
81,299,229,3.0,878192429
82,225,480,5.0,879540748
83,276,54,3.0,874791025
84,291,144,5.0,874835091
85,222,366,4.0,878183381
86,267,518,5.0,878971773
87,42,403,3.0,881108684
88,11,111,4.0,891903862
89,95,625,4.0,888954412
90,8,338,4.0,879361873
91,162,25,4.0,877635573
92,87,1016,4.0,879876194
93,279,154,5.0,875296291
94,145,275,2.0,885557505
95,119,1153,5.0,874781198
96,62,498,4.0,879373848
97,62,382,3.0,879375537
98,28,209,4.0,881961214
99,135,23,4.0,879857765
100,32,294,3.0,883709863
101,90,382,5.0,891383835
102,286,208,4.0,877531942
103,293,685,3.0,888905170
104,216,144,4.0,880234639
105,166,328,5.0,886397722
106,250,496,4.0,878090499
107,271,132,5.0,885848672
108,160,174,5.0,876860807
109,265,118,4.0,875320714
110,198,498,3.0,884207492
111,42,96,5.0,881107178
112,168,151,5.0,884288058
113,110,307,4.0,886987260
114,58,144,4.0,884304936
115,90,648,4.0,891384754
116,271,346,4.0,885844430
117,62,21,3.0,879373460
118,279,832,3.0,881375854
119,237,514,4.0,879376641
120,94,789,4.0,891720887
121,128,485,3.0,879966895
122,298,317,4.0,884182806
123,44,195,5.0,878347874
124,264,200,5.0,886122352
125,194,385,2.0,879524643
126,72,195,5.0,880037702
127,222,750,5.0,883815120
128,250,264,3.0,878089182
129,41,265,3.0,890687042
130,224,245,3.0,888082216
131,82,135,3.0,878769629
132,262,1147,4.0,879791710
133,293,471,3.0,888904884
134,216,658,3.0,880245029
135,250,140,3.0,878092059
136,59,23,5.0,888205300
137,286,379,5.0,877533771
138,244,815,4.0,880605185
139,7,479,4.0,891352010
140,174,368,1.0,886434402
141,87,274,4.0,879876734
142,194,1211,2.0,879551380
143,82,1134,2.0,884714402
144,13,836,2.0,882139746
145,13,272,4.0,884538403
146,244,756,2.0,880605157
147,305,427,5.0,886323090
148,95,787,2.0,888954930
149,43,14,2.0,883955745
150,299,955,4.0,889502823
151,57,419,3.0,883698454
152,84,405,3.0,883452363
153,269,504,4.0,891449922
154,299,111,3.0,877878184
155,194,466,4.0,879525876
156,160,135,4.0,876860807
157,99,268,3.0,885678247
158,10,486,4.0,877886846
159,259,117,4.0,874724988
160,85,427,3.0,879456350
161,303,919,4.0,879467295
162,213,273,5.0,878870987
163,121,514,3.0,891387947
164,90,98,5.0,891383204
165,49,559,2.0,888067405
166,42,794,3.0,881108425
167,155,323,2.0,879371261
168,68,117,4.0,876973939
169,172,177,4.0,875537965
170,19,4,4.0,885412840
171,268,231,4.0,875744136
172,5,2,3.0,875636053
173,305,117,2.0,886324028
174,44,294,4.0,883612356
175,43,137,4.0,875975656
176,279,1336,1.0,875298353
177,80,466,5.0,887401701
178,254,164,4.0,886472768
179,298,281,3.0,884183336
180,279,1240,1.0,892174404
181,66,298,4.0,883601324
182,18,443,3.0,880130193
183,268,1035,2.0,875542174
184,99,79,4.0,885680138
185,13,98,4.0,881515011
186,26,258,3.0,891347949
187,7,455,4.0,891353086
188,222,755,4.0,878183481
189,200,673,5.0,884128554
190,119,328,4.0,876923913
191,213,172,5.0,878955442
192,276,322,3.0,874786392
193,94,1217,3.0,891723086
